Company,Product,Total Complaints
HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,0
HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,829
HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,164
HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
HSBC NORTH AMERICA HOLDINGS INC.,Student loan,6
HSBC NORTH AMERICA HOLDINGS INC.,Student loan,1
HSBC NORTH AMERICA HOLDINGS INC.,Vehicle loan or lease,0
HSBC NORTH AMERICA HOLDINGS INC.,Vehicle loan or lease,0
HSBC NORTH AMERICA HOLDINGS INC.,Vehicle loan or lease,0
HSBC NORTH AMERICA HOLDINGS INC.,Mortgage,0
HSBC NORTH AMERICA HOLDINGS INC.,Mortgage,3226
HSBC NORTH AMERICA HOLDINGS INC.,Mortgage,1018
HSBC NORTH AMERICA HOLDINGS INC.,"Payday loan, title loan, or personal loan",0
HSBC NORTH AMERICA HOLDINGS INC.,"Payday loan, title loan, or personal loan",0
HSBC NORTH AMERICA HOLDINGS INC.,"Payday loan, title loan, or personal loan",0
HSBC NORTH AMERICA HOLDINGS INC.,Bank account or service,0
HSBC NORTH AMERICA HOLDINGS INC.,Bank account or service,810
HSBC NORTH AMERICA HOLDINGS INC.,Bank account or service,208
HSBC NORTH AMERICA HOLDINGS INC.,Credit card,0
HSBC NORTH AMERICA HOLDINGS INC.,Credit card,526
HSBC NORTH AMERICA HOLDINGS INC.,Credit card,141
HSBC NORTH AMERICA HOLDINGS INC.,Credit reporting,0
HSBC NORTH AMERICA HOLDINGS INC.,Credit reporting,36
HSBC NORTH AMERICA HOLDINGS INC.,Credit reporting,12
HSBC NORTH AMERICA HOLDINGS INC.,Consumer Loan,0
HSBC NORTH AMERICA HOLDINGS INC.,Consumer Loan,146
HSBC NORTH AMERICA HOLDINGS INC.,Consumer Loan,44
HSBC NORTH AMERICA HOLDINGS INC.,Prepaid card,0
HSBC NORTH AMERICA HOLDINGS INC.,Prepaid card,1
HSBC NORTH AMERICA HOLDINGS INC.,Prepaid card,2
HSBC NORTH AMERICA HOLDINGS INC.,Money transfers,0
HSBC NORTH AMERICA HOLDINGS INC.,Money transfers,28
HSBC NORTH AMERICA HOLDINGS INC.,Money transfers,5
HSBC NORTH AMERICA HOLDINGS INC.,Other financial service,0
HSBC NORTH AMERICA HOLDINGS INC.,Other financial service,3
HSBC NORTH AMERICA HOLDINGS INC.,Other financial service,1
HSBC NORTH AMERICA HOLDINGS INC.,Payday loan,0
HSBC NORTH AMERICA HOLDINGS INC.,Payday loan,2
HSBC NORTH AMERICA HOLDINGS INC.,Payday loan,0
Resurgent Capital Services L.P.,Checking or savings account,0
Resurgent Capital Services L.P.,Checking or savings account,0
Resurgent Capital Services L.P.,Checking or savings account,0
Resurgent Capital Services L.P.,Credit card or prepaid card,0
