,Company,Mortgage Total Issue Complaints
0,"AmeriHome Mortgage Company, LLC",448
1,"AmeriHome Mortgage Company, LLC",25
2,"AmeriHome Mortgage Company, LLC",99
3,"AmeriHome Mortgage Company, LLC",9
4,"AmeriHome Mortgage Company, LLC",22
5,"AmeriHome Mortgage Company, LLC",3
6,"AmeriHome Mortgage Company, LLC",1
7,"AmeriHome Mortgage Company, LLC",0
8,"AmeriHome Mortgage Company, LLC",0
9,"AmeriHome Mortgage Company, LLC",1
10,"AmeriHome Mortgage Company, LLC",37
11,"AmeriHome Mortgage Company, LLC",0
12,"AmeriHome Mortgage Company, LLC",1
13,"AmeriHome Mortgage Company, LLC",0
14,"AmeriHome Mortgage Company, LLC",0
15,"CITIZENS FINANCIAL GROUP, INC.",323
16,"CITIZENS FINANCIAL GROUP, INC.",82
17,"CITIZENS FINANCIAL GROUP, INC.",72
18,"CITIZENS FINANCIAL GROUP, INC.",5
19,"CITIZENS FINANCIAL GROUP, INC.",48
20,"CITIZENS FINANCIAL GROUP, INC.",2
21,"CITIZENS FINANCIAL GROUP, INC.",0
22,"CITIZENS FINANCIAL GROUP, INC.",0
23,"CITIZENS FINANCIAL GROUP, INC.",2
24,"CITIZENS FINANCIAL GROUP, INC.",22
25,"CITIZENS FINANCIAL GROUP, INC.",74
26,"CITIZENS FINANCIAL GROUP, INC.",23
27,"CITIZENS FINANCIAL GROUP, INC.",41
28,"CITIZENS FINANCIAL GROUP, INC.",12
29,"CITIZENS FINANCIAL GROUP, INC.",0
30,RoundPoint Mortgage Servicing Corporation,304
31,RoundPoint Mortgage Servicing Corporation,25
32,RoundPoint Mortgage Servicing Corporation,65
33,RoundPoint Mortgage Servicing Corporation,9
34,RoundPoint Mortgage Servicing Corporation,26
35,RoundPoint Mortgage Servicing Corporation,6
36,RoundPoint Mortgage Servicing Corporation,0
37,RoundPoint Mortgage Servicing Corporation,0
38,RoundPoint Mortgage Servicing Corporation,1
39,RoundPoint Mortgage Servicing Corporation,47
40,RoundPoint Mortgage Servicing Corporation,213
41,RoundPoint Mortgage Servicing Corporation,8
42,RoundPoint Mortgage Servicing Corporation,5
43,RoundPoint Mortgage Servicing Corporation,1
44,RoundPoint Mortgage Servicing Corporation,0
45,AMERISAVE MORTGAGE CORPORATION,75
46,AMERISAVE MORTGAGE CORPORATION,424
47,AMERISAVE MORTGAGE CORPORATION,0
48,AMERISAVE MORTGAGE CORPORATION,2
49,AMERISAVE MORTGAGE CORPORATION,138
50,AMERISAVE MORTGAGE CORPORATION,0
51,AMERISAVE MORTGAGE CORPORATION,2
52,AMERISAVE MORTGAGE CORPORATION,0
53,AMERISAVE MORTGAGE CORPORATION,0
54,AMERISAVE MORTGAGE CORPORATION,1
55,AMERISAVE MORTGAGE CORPORATION,7
56,AMERISAVE MORTGAGE CORPORATION,5
57,AMERISAVE MORTGAGE CORPORATION,44
58,AMERISAVE MORTGAGE CORPORATION,12
59,AMERISAVE MORTGAGE CORPORATION,0
60,"Dovenmuehle Mortgage, Inc.",464
61,"Dovenmuehle Mortgage, Inc.",28
62,"Dovenmuehle Mortgage, Inc.",102
63,"Dovenmuehle Mortgage, Inc.",15
64,"Dovenmuehle Mortgage, Inc.",44
65,"Dovenmuehle Mortgage, Inc.",7
66,"Dovenmuehle Mortgage, Inc.",0
67,"Dovenmuehle Mortgage, Inc.",0
68,"Dovenmuehle Mortgage, Inc.",0
69,"Dovenmuehle Mortgage, Inc.",29
70,"Dovenmuehle Mortgage, Inc.",88
71,"Dovenmuehle Mortgage, Inc.",3
72,"Dovenmuehle Mortgage, Inc.",1
73,"Dovenmuehle Mortgage, Inc.",1
74,"Dovenmuehle Mortgage, Inc.",0
75,"LAKEVIEW LOAN SERVICING, LLC",576
76,"LAKEVIEW LOAN SERVICING, LLC",78
77,"LAKEVIEW LOAN SERVICING, LLC",80
78,"LAKEVIEW LOAN SERVICING, LLC",15
79,"LAKEVIEW LOAN SERVICING, LLC",46
80,"LAKEVIEW LOAN SERVICING, LLC",3
81,"LAKEVIEW LOAN SERVICING, LLC",3
82,"LAKEVIEW LOAN SERVICING, LLC",0
83,"LAKEVIEW LOAN SERVICING, LLC",3
84,"LAKEVIEW LOAN SERVICING, LLC",1
85,"LAKEVIEW LOAN SERVICING, LLC",16
86,"LAKEVIEW LOAN SERVICING, LLC",1
87,"LAKEVIEW LOAN SERVICING, LLC",9
88,"LAKEVIEW LOAN SERVICING, LLC",1
89,"LAKEVIEW LOAN SERVICING, LLC",0
90,"Fay Servicing, LLC",316
91,"Fay Servicing, LLC",23
92,"Fay Servicing, LLC",360
93,"Fay Servicing, LLC",8
94,"Fay Servicing, LLC",26
95,"Fay Servicing, LLC",2
96,"Fay Servicing, LLC",0
97,"Fay Servicing, LLC",0
98,"Fay Servicing, LLC",0
99,"Fay Servicing, LLC",76
100,"Fay Servicing, LLC",63
101,"Fay Servicing, LLC",5
102,"Fay Servicing, LLC",4
103,"Fay Servicing, LLC",2
104,"Fay Servicing, LLC",0
105,"LD Holdings Group, LLC",246
106,"LD Holdings Group, LLC",264
107,"LD Holdings Group, LLC",64
108,"LD Holdings Group, LLC",8
109,"LD Holdings Group, LLC",174
110,"LD Holdings Group, LLC",0
111,"LD Holdings Group, LLC",3
112,"LD Holdings Group, LLC",0
113,"LD Holdings Group, LLC",0
114,"LD Holdings Group, LLC",4
115,"LD Holdings Group, LLC",49
116,"LD Holdings Group, LLC",15
117,"LD Holdings Group, LLC",68
118,"LD Holdings Group, LLC",15
119,"LD Holdings Group, LLC",0
120,"FLAGSTAR BANK, FSB",450
121,"FLAGSTAR BANK, FSB",72
122,"FLAGSTAR BANK, FSB",204
123,"FLAGSTAR BANK, FSB",4
124,"FLAGSTAR BANK, FSB",53
