,Company,Mortgage Total State Complaints
0,"AmeriHome Mortgage Company, LLC",26
1,"AmeriHome Mortgage Company, LLC",90
2,"AmeriHome Mortgage Company, LLC",3
3,"AmeriHome Mortgage Company, LLC",7
4,"AmeriHome Mortgage Company, LLC",82
5,"AmeriHome Mortgage Company, LLC",4
6,"AmeriHome Mortgage Company, LLC",0
7,"AmeriHome Mortgage Company, LLC",7
8,"AmeriHome Mortgage Company, LLC",23
9,"AmeriHome Mortgage Company, LLC",8
10,"AmeriHome Mortgage Company, LLC",5
11,"AmeriHome Mortgage Company, LLC",20
12,"AmeriHome Mortgage Company, LLC",26
13,"AmeriHome Mortgage Company, LLC",38
14,"AmeriHome Mortgage Company, LLC",53
15,"AmeriHome Mortgage Company, LLC",2
16,"AmeriHome Mortgage Company, LLC",9
17,"AmeriHome Mortgage Company, LLC",10
18,"AmeriHome Mortgage Company, LLC",29
19,"AmeriHome Mortgage Company, LLC",0
20,"AmeriHome Mortgage Company, LLC",0
21,"AmeriHome Mortgage Company, LLC",3
22,"AmeriHome Mortgage Company, LLC",26
23,"AmeriHome Mortgage Company, LLC",3
24,"AmeriHome Mortgage Company, LLC",2
25,"AmeriHome Mortgage Company, LLC",2
26,"AmeriHome Mortgage Company, LLC",6
27,"AmeriHome Mortgage Company, LLC",0
28,"AmeriHome Mortgage Company, LLC",5
29,"AmeriHome Mortgage Company, LLC",25
30,"AmeriHome Mortgage Company, LLC",3
31,"AmeriHome Mortgage Company, LLC",5
32,"AmeriHome Mortgage Company, LLC",9
33,"AmeriHome Mortgage Company, LLC",5
34,"AmeriHome Mortgage Company, LLC",18
35,"AmeriHome Mortgage Company, LLC",6
36,"AmeriHome Mortgage Company, LLC",25
37,"AmeriHome Mortgage Company, LLC",2
38,"AmeriHome Mortgage Company, LLC",1
39,"AmeriHome Mortgage Company, LLC",6
40,"AmeriHome Mortgage Company, LLC",1
41,"AmeriHome Mortgage Company, LLC",6
42,"AmeriHome Mortgage Company, LLC",9
43,"AmeriHome Mortgage Company, LLC",7
44,"AmeriHome Mortgage Company, LLC",4
45,"AmeriHome Mortgage Company, LLC",0
46,"AmeriHome Mortgage Company, LLC",0
47,"AmeriHome Mortgage Company, LLC",12
48,"AmeriHome Mortgage Company, LLC",0
49,"AmeriHome Mortgage Company, LLC",6
50,"AmeriHome Mortgage Company, LLC",5
51,"AmeriHome Mortgage Company, LLC",0
52,"AmeriHome Mortgage Company, LLC",1
53,"AmeriHome Mortgage Company, LLC",0
54,"AmeriHome Mortgage Company, LLC",0
55,"AmeriHome Mortgage Company, LLC",0
56,"AmeriHome Mortgage Company, LLC",0
57,"AmeriHome Mortgage Company, LLC",1
58,"AmeriHome Mortgage Company, LLC",0
59,"AmeriHome Mortgage Company, LLC",0
60,"AmeriHome Mortgage Company, LLC",0
61,"AmeriHome Mortgage Company, LLC",0
62,"AmeriHome Mortgage Company, LLC",0
63,"CITIZENS FINANCIAL GROUP, INC.",83
64,"CITIZENS FINANCIAL GROUP, INC.",19
65,"CITIZENS FINANCIAL GROUP, INC.",81
