,Company,Mortgage Total Sub-product Complaints
0,"AmeriHome Mortgage Company, LLC",350
1,"AmeriHome Mortgage Company, LLC",55
2,"AmeriHome Mortgage Company, LLC",9
3,"AmeriHome Mortgage Company, LLC",214
4,"AmeriHome Mortgage Company, LLC",0
5,"AmeriHome Mortgage Company, LLC",0
6,"AmeriHome Mortgage Company, LLC",18
7,"AmeriHome Mortgage Company, LLC",0
8,"AmeriHome Mortgage Company, LLC",0
9,"AmeriHome Mortgage Company, LLC",0
10,"CITIZENS FINANCIAL GROUP, INC.",319
11,"CITIZENS FINANCIAL GROUP, INC.",21
12,"CITIZENS FINANCIAL GROUP, INC.",22
13,"CITIZENS FINANCIAL GROUP, INC.",78
14,"CITIZENS FINANCIAL GROUP, INC.",103
15,"CITIZENS FINANCIAL GROUP, INC.",0
16,"CITIZENS FINANCIAL GROUP, INC.",84
17,"CITIZENS FINANCIAL GROUP, INC.",23
18,"CITIZENS FINANCIAL GROUP, INC.",40
19,"CITIZENS FINANCIAL GROUP, INC.",16
20,RoundPoint Mortgage Servicing Corporation,293
21,RoundPoint Mortgage Servicing Corporation,65
22,RoundPoint Mortgage Servicing Corporation,18
23,RoundPoint Mortgage Servicing Corporation,140
24,RoundPoint Mortgage Servicing Corporation,4
25,RoundPoint Mortgage Servicing Corporation,0
26,RoundPoint Mortgage Servicing Corporation,159
27,RoundPoint Mortgage Servicing Corporation,18
28,RoundPoint Mortgage Servicing Corporation,2
29,RoundPoint Mortgage Servicing Corporation,11
30,AMERISAVE MORTGAGE CORPORATION,531
31,AMERISAVE MORTGAGE CORPORATION,46
32,AMERISAVE MORTGAGE CORPORATION,17
33,AMERISAVE MORTGAGE CORPORATION,56
34,AMERISAVE MORTGAGE CORPORATION,2
35,AMERISAVE MORTGAGE CORPORATION,0
36,AMERISAVE MORTGAGE CORPORATION,50
37,AMERISAVE MORTGAGE CORPORATION,1
38,AMERISAVE MORTGAGE CORPORATION,3
39,AMERISAVE MORTGAGE CORPORATION,4
40,"Dovenmuehle Mortgage, Inc.",481
41,"Dovenmuehle Mortgage, Inc.",72
42,"Dovenmuehle Mortgage, Inc.",12
43,"Dovenmuehle Mortgage, Inc.",136
44,"Dovenmuehle Mortgage, Inc.",8
45,"Dovenmuehle Mortgage, Inc.",0
46,"Dovenmuehle Mortgage, Inc.",60
47,"Dovenmuehle Mortgage, Inc.",7
48,"Dovenmuehle Mortgage, Inc.",0
49,"Dovenmuehle Mortgage, Inc.",6
50,"LAKEVIEW LOAN SERVICING, LLC",319
51,"LAKEVIEW LOAN SERVICING, LLC",146
