,Company,Mortgage Total Timely response? Complaints
0,"AmeriHome Mortgage Company, LLC",640
1,"AmeriHome Mortgage Company, LLC",6
2,"CITIZENS FINANCIAL GROUP, INC.",706
3,"CITIZENS FINANCIAL GROUP, INC.",0
4,RoundPoint Mortgage Servicing Corporation,702
5,RoundPoint Mortgage Servicing Corporation,8
6,AMERISAVE MORTGAGE CORPORATION,704
7,AMERISAVE MORTGAGE CORPORATION,6
8,"Dovenmuehle Mortgage, Inc.",744
9,"Dovenmuehle Mortgage, Inc.",38
10,"LAKEVIEW LOAN SERVICING, LLC",824
11,"LAKEVIEW LOAN SERVICING, LLC",8
12,"Fay Servicing, LLC",845
13,"Fay Servicing, LLC",40
14,"LD Holdings Group, LLC",893
15,"LD Holdings Group, LLC",17
16,"FLAGSTAR BANK, FSB",969
17,"FLAGSTAR BANK, FSB",0
18,RUSHMORE LOAN MANAGEMENT SERVICES LLC,1076
19,RUSHMORE LOAN MANAGEMENT SERVICES LLC,3
20,"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",1090
21,"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",2
22,"Seterus, Inc.",1111
23,"Seterus, Inc.",1
24,PNC Bank N.A.,1177
25,PNC Bank N.A.,0
26,"PENNYMAC LOAN SERVICES, LLC.",1215
27,"PENNYMAC LOAN SERVICES, LLC.",1
28,"Caliber Home Loans, Inc.",1444
29,"Caliber Home Loans, Inc.",13
30,"CITIBANK, N.A.",1490
31,"CITIBANK, N.A.",1
32,"CARRINGTON MORTGAGE SERVICES, LLC",1533
33,"CARRINGTON MORTGAGE SERVICES, LLC",2
34,U.S. BANCORP,1636
35,U.S. BANCORP,0
36,"Rocket Mortgage, LLC",1657
37,"Rocket Mortgage, LLC",10
38,Freedom Mortgage Company,2391
39,Freedom Mortgage Company,11
40,Specialized Loan Servicing Holdings LLC,2526
41,Specialized Loan Servicing Holdings LLC,34
42,"LoanCare, LLC",2659
43,"LoanCare, LLC",12
44,"Shellpoint Partners, LLC",3178
45,"Shellpoint Partners, LLC",33
46,"SELECT PORTFOLIO SERVICING, INC.",3262
47,"SELECT PORTFOLIO SERVICING, INC.",7
48,JPMORGAN CHASE & CO.,3574
49,JPMORGAN CHASE & CO.,0
50,Ditech Financial LLC,3608
51,Ditech Financial LLC,11
52,"BANK OF AMERICA, NATIONAL ASSOCIATION",4977
53,"BANK OF AMERICA, NATIONAL ASSOCIATION",5
54,Ocwen Financial Corporation,6396
55,Ocwen Financial Corporation,21
56,NATIONSTAR MORTGAGE,6724
57,NATIONSTAR MORTGAGE,3
58,WELLS FARGO & COMPANY,7875
59,WELLS FARGO & COMPANY,7
