Company,Product,Total Complaints
HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,1275
HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,782
HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",201
HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,1609
HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",164
HSBC NORTH AMERICA HOLDINGS INC.,Student loan,8
HSBC NORTH AMERICA HOLDINGS INC.,Vehicle loan or lease,36
HSBC NORTH AMERICA HOLDINGS INC.,Mortgage,4725
HSBC NORTH AMERICA HOLDINGS INC.,"Payday loan, title loan, or personal loan",44
HSBC NORTH AMERICA HOLDINGS INC.,Bank account or service,1018
HSBC NORTH AMERICA HOLDINGS INC.,Credit card,667
HSBC NORTH AMERICA HOLDINGS INC.,Credit reporting,48
HSBC NORTH AMERICA HOLDINGS INC.,Consumer Loan,190
HSBC NORTH AMERICA HOLDINGS INC.,Prepaid card,3
HSBC NORTH AMERICA HOLDINGS INC.,Money transfers,33
HSBC NORTH AMERICA HOLDINGS INC.,Other financial service,4
HSBC NORTH AMERICA HOLDINGS INC.,Payday loan,2
Resurgent Capital Services L.P.,Checking or savings account,4
Resurgent Capital Services L.P.,Credit card or prepaid card,106
Resurgent Capital Services L.P.,"Credit reporting, credit repair services, or other personal consumer reports",2012
Resurgent Capital Services L.P.,Debt collection,8456
Resurgent Capital Services L.P.,"Money transfer, virtual currency, or money service",0
Resurgent Capital Services L.P.,Student loan,4
Resurgent Capital Services L.P.,Vehicle loan or lease,3
Resurgent Capital Services L.P.,Mortgage,144
Resurgent Capital Services L.P.,"Payday loan, title loan, or personal loan",18
Resurgent Capital Services L.P.,Bank account or service,13
Resurgent Capital Services L.P.,Credit card,70
Resurgent Capital Services L.P.,Credit reporting,57
Resurgent Capital Services L.P.,Consumer Loan,30
Resurgent Capital Services L.P.,Prepaid card,0
Resurgent Capital Services L.P.,Money transfers,0
Resurgent Capital Services L.P.,Other financial service,0
Resurgent Capital Services L.P.,Payday loan,1
ERC,Checking or savings account,1
ERC,Credit card or prepaid card,1
ERC,"Credit reporting, credit repair services, or other personal consumer reports",1387
ERC,Debt collection,9616
ERC,"Money transfer, virtual currency, or money service",1
ERC,Student loan,4
ERC,Vehicle loan or lease,0
ERC,Mortgage,1
ERC,"Payday loan, title loan, or personal loan",2
ERC,Bank account or service,5
ERC,Credit card,5
ERC,Credit reporting,60
ERC,Consumer Loan,11
ERC,Prepaid card,1
ERC,Money transfers,0
ERC,Other financial service,1
ERC,Payday loan,2
ALLY FINANCIAL INC.,Checking or savings account,1371
ALLY FINANCIAL INC.,Credit card or prepaid card,43
ALLY FINANCIAL INC.,"Credit reporting, credit repair services, or other personal consumer reports",2767
ALLY FINANCIAL INC.,Debt collection,975
ALLY FINANCIAL INC.,"Money transfer, virtual currency, or money service",106
ALLY FINANCIAL INC.,Student loan,5
ALLY FINANCIAL INC.,Vehicle loan or lease,2555
ALLY FINANCIAL INC.,Mortgage,249
ALLY FINANCIAL INC.,"Payday loan, title loan, or personal loan",108
ALLY FINANCIAL INC.,Bank account or service,777
ALLY FINANCIAL INC.,Credit card,18
ALLY FINANCIAL INC.,Credit reporting,37
ALLY FINANCIAL INC.,Consumer Loan,2094
ALLY FINANCIAL INC.,Prepaid card,0
ALLY FINANCIAL INC.,Money transfers,7
ALLY FINANCIAL INC.,Other financial service,3
ALLY FINANCIAL INC.,Payday loan,0
Santander Consumer USA Holdings Inc.,Checking or savings account,25
Santander Consumer USA Holdings Inc.,Credit card or prepaid card,62
Santander Consumer USA Holdings Inc.,"Credit reporting, credit repair services, or other personal consumer reports",3262
Santander Consumer USA Holdings Inc.,Debt collection,1634
Santander Consumer USA Holdings Inc.,"Money transfer, virtual currency, or money service",9
Santander Consumer USA Holdings Inc.,Student loan,0
Santander Consumer USA Holdings Inc.,Vehicle loan or lease,4010
Santander Consumer USA Holdings Inc.,Mortgage,31
Santander Consumer USA Holdings Inc.,"Payday loan, title loan, or personal loan",114
Santander Consumer USA Holdings Inc.,Bank account or service,54
Santander Consumer USA Holdings Inc.,Credit card,11
Santander Consumer USA Holdings Inc.,Credit reporting,37
Santander Consumer USA Holdings Inc.,Consumer Loan,2537
Santander Consumer USA Holdings Inc.,Prepaid card,0
Santander Consumer USA Holdings Inc.,Money transfers,1
Santander Consumer USA Holdings Inc.,Other financial service,0
Santander Consumer USA Holdings Inc.,Payday loan,1
"SELECT PORTFOLIO SERVICING, INC.",Checking or savings account,7
"SELECT PORTFOLIO SERVICING, INC.",Credit card or prepaid card,3
"SELECT PORTFOLIO SERVICING, INC.","Credit reporting, credit repair services, or other personal consumer reports",248
"SELECT PORTFOLIO SERVICING, INC.",Debt collection,655
"SELECT PORTFOLIO SERVICING, INC.","Money transfer, virtual currency, or money service",5
"SELECT PORTFOLIO SERVICING, INC.",Student loan,1
"SELECT PORTFOLIO SERVICING, INC.",Vehicle loan or lease,2
"SELECT PORTFOLIO SERVICING, INC.",Mortgage,11048
"SELECT PORTFOLIO SERVICING, INC.","Payday loan, title loan, or personal loan",3
"SELECT PORTFOLIO SERVICING, INC.",Bank account or service,10
"SELECT PORTFOLIO SERVICING, INC.",Credit card,0
"SELECT PORTFOLIO SERVICING, INC.",Credit reporting,5
"SELECT PORTFOLIO SERVICING, INC.",Consumer Loan,5
"SELECT PORTFOLIO SERVICING, INC.",Prepaid card,0
"SELECT PORTFOLIO SERVICING, INC.",Money transfers,0
"SELECT PORTFOLIO SERVICING, INC.",Other financial service,0
"SELECT PORTFOLIO SERVICING, INC.",Payday loan,0
BARCLAYS BANK DELAWARE,Checking or savings account,141
BARCLAYS BANK DELAWARE,Credit card or prepaid card,5233
BARCLAYS BANK DELAWARE,"Credit reporting, credit repair services, or other personal consumer reports",1812
BARCLAYS BANK DELAWARE,Debt collection,1115
BARCLAYS BANK DELAWARE,"Money transfer, virtual currency, or money service",28
BARCLAYS BANK DELAWARE,Student loan,1
BARCLAYS BANK DELAWARE,Vehicle loan or lease,1
BARCLAYS BANK DELAWARE,Mortgage,25
BARCLAYS BANK DELAWARE,"Payday loan, title loan, or personal loan",58
BARCLAYS BANK DELAWARE,Bank account or service,129
BARCLAYS BANK DELAWARE,Credit card,3514
BARCLAYS BANK DELAWARE,Credit reporting,76
BARCLAYS BANK DELAWARE,Consumer Loan,20
BARCLAYS BANK DELAWARE,Prepaid card,1
BARCLAYS BANK DELAWARE,Money transfers,4
BARCLAYS BANK DELAWARE,Other financial service,2
BARCLAYS BANK DELAWARE,Payday loan,0
AES/PHEAA,Checking or savings account,4
AES/PHEAA,Credit card or prepaid card,25
AES/PHEAA,"Credit reporting, credit repair services, or other personal consumer reports",1900
AES/PHEAA,Debt collection,856
AES/PHEAA,"Money transfer, virtual currency, or money service",5
AES/PHEAA,Student loan,11391
AES/PHEAA,Vehicle loan or lease,0
AES/PHEAA,Mortgage,1
AES/PHEAA,"Payday loan, title loan, or personal loan",10
AES/PHEAA,Bank account or service,5
AES/PHEAA,Credit card,1
AES/PHEAA,Credit reporting,17
AES/PHEAA,Consumer Loan,5
AES/PHEAA,Prepaid card,0
AES/PHEAA,Money transfers,0
AES/PHEAA,Other financial service,2
AES/PHEAA,Payday loan,0
Ditech Financial LLC,Checking or savings account,4
Ditech Financial LLC,Credit card or prepaid card,1
Ditech Financial LLC,"Credit reporting, credit repair services, or other personal consumer reports",213
Ditech Financial LLC,Debt collection,909
Ditech Financial LLC,"Money transfer, virtual currency, or money service",3
Ditech Financial LLC,Student loan,0
Ditech Financial LLC,Vehicle loan or lease,5
Ditech Financial LLC,Mortgage,13629
Ditech Financial LLC,"Payday loan, title loan, or personal loan",23
Ditech Financial LLC,Bank account or service,33
Ditech Financial LLC,Credit card,0
Ditech Financial LLC,Credit reporting,28
Ditech Financial LLC,Consumer Loan,98
Ditech Financial LLC,Prepaid card,0
Ditech Financial LLC,Money transfers,0
Ditech Financial LLC,Other financial service,6
Ditech Financial LLC,Payday loan,1
"Paypal Holdings, Inc",Checking or savings account,812
"Paypal Holdings, Inc",Credit card or prepaid card,667
"Paypal Holdings, Inc","Credit reporting, credit repair services, or other personal consumer reports",99
"Paypal Holdings, Inc",Debt collection,903
"Paypal Holdings, Inc","Money transfer, virtual currency, or money service",10025
"Paypal Holdings, Inc",Student loan,0
"Paypal Holdings, Inc",Vehicle loan or lease,0
"Paypal Holdings, Inc",Mortgage,2
"Paypal Holdings, Inc","Payday loan, title loan, or personal loan",44
"Paypal Holdings, Inc",Bank account or service,802
"Paypal Holdings, Inc",Credit card,672
"Paypal Holdings, Inc",Credit reporting,3
"Paypal Holdings, Inc",Consumer Loan,167
"Paypal Holdings, Inc",Prepaid card,355
"Paypal Holdings, Inc",Money transfers,921
"Paypal Holdings, Inc",Other financial service,13
"Paypal Holdings, Inc",Payday loan,24
"Bread Financial Holdings, Inc.",Checking or savings account,278
"Bread Financial Holdings, Inc.",Credit card or prepaid card,7084
"Bread Financial Holdings, Inc.","Credit reporting, credit repair services, or other personal consumer reports",4280
"Bread Financial Holdings, Inc.",Debt collection,3554
"Bread Financial Holdings, Inc.","Money transfer, virtual currency, or money service",87
"Bread Financial Holdings, Inc.",Student loan,3
"Bread Financial Holdings, Inc.",Vehicle loan or lease,1
"Bread Financial Holdings, Inc.",Mortgage,9
"Bread Financial Holdings, Inc.","Payday loan, title loan, or personal loan",196
"Bread Financial Holdings, Inc.",Bank account or service,32
"Bread Financial Holdings, Inc.",Credit card,403
"Bread Financial Holdings, Inc.",Credit reporting,37
"Bread Financial Holdings, Inc.",Consumer Loan,27
"Bread Financial Holdings, Inc.",Prepaid card,6
"Bread Financial Holdings, Inc.",Money transfers,6
"Bread Financial Holdings, Inc.",Other financial service,1
"Bread Financial Holdings, Inc.",Payday loan,1
TD BANK US HOLDING COMPANY,Checking or savings account,4316
TD BANK US HOLDING COMPANY,Credit card or prepaid card,2610
