,Company,Product,Total Company response to consumer Complaints
0,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,1182
1,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,7
2,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,61
3,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,25
4,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
5,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
6,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
7,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
8,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
9,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,742
10,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,7
11,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,23
12,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,10
13,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
14,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
15,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
16,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
17,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
18,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",194
19,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",4
20,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
21,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",3
22,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
23,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
24,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
25,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
26,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
27,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,1591
28,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,2
29,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,4
30,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,8
31,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,0
32,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,4
33,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,0
34,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,0
35,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,0
36,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",151
37,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",1
