,Company,Product,Total State Complaints
0,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,329
1,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,2
2,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,73
3,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,65
4,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,23
5,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,66
6,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,25
7,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,6
8,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,19
9,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,34
10,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,7
11,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,251
12,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,8
13,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,28
14,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,16
15,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,2
16,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,15
17,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,7
18,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,2
19,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,2
20,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,39
21,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,8
22,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,7
23,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,35
24,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,1
25,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,14
26,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,15
27,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,4
28,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
29,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,7
30,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,3
31,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,2
32,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,1
33,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
34,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,8
35,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,10
36,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,9
37,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,2
38,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,11
39,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,1
40,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,2
41,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,9
42,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,2
43,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,21
44,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
45,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
