,Company,Product,Total Sub-product Complaints
0,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,984
1,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
2,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
3,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
4,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
5,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
6,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,134
7,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
8,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
9,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
10,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
11,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
12,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
13,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
14,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
15,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
16,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
17,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
18,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,1
19,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
20,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
21,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
22,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
23,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
24,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
25,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
26,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
27,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
