Company,Product,Total Complaints
HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,60
HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,65
HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,15
HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,34
HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,53
HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,12
HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",13
HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",10
HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",4
HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,0
HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,157
HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,108
HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,31
HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",7
HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",26
HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",4
HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
HSBC NORTH AMERICA HOLDINGS INC.,Student loan,1
HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
HSBC NORTH AMERICA HOLDINGS INC.,Vehicle loan or lease,0
HSBC NORTH AMERICA HOLDINGS INC.,Vehicle loan or lease,2
HSBC NORTH AMERICA HOLDINGS INC.,Vehicle loan or lease,1
HSBC NORTH AMERICA HOLDINGS INC.,Vehicle loan or lease,4
HSBC NORTH AMERICA HOLDINGS INC.,Mortgage,0
HSBC NORTH AMERICA HOLDINGS INC.,Mortgage,199
HSBC NORTH AMERICA HOLDINGS INC.,Mortgage,403
HSBC NORTH AMERICA HOLDINGS INC.,Mortgage,65
HSBC NORTH AMERICA HOLDINGS INC.,"Payday loan, title loan, or personal loan",0
