Company,Product,Total Complaints
HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,1273
HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,2
HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,781
HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,1
HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",201
HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,1604
HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,5
HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",164
HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
HSBC NORTH AMERICA HOLDINGS INC.,Student loan,8
HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
HSBC NORTH AMERICA HOLDINGS INC.,Vehicle loan or lease,36
HSBC NORTH AMERICA HOLDINGS INC.,Vehicle loan or lease,0
HSBC NORTH AMERICA HOLDINGS INC.,Mortgage,4603
HSBC NORTH AMERICA HOLDINGS INC.,Mortgage,122
HSBC NORTH AMERICA HOLDINGS INC.,"Payday loan, title loan, or personal loan",44
HSBC NORTH AMERICA HOLDINGS INC.,"Payday loan, title loan, or personal loan",0
HSBC NORTH AMERICA HOLDINGS INC.,Bank account or service,1002
HSBC NORTH AMERICA HOLDINGS INC.,Bank account or service,16
HSBC NORTH AMERICA HOLDINGS INC.,Credit card,658
HSBC NORTH AMERICA HOLDINGS INC.,Credit card,9
HSBC NORTH AMERICA HOLDINGS INC.,Credit reporting,46
HSBC NORTH AMERICA HOLDINGS INC.,Credit reporting,2
HSBC NORTH AMERICA HOLDINGS INC.,Consumer Loan,189
HSBC NORTH AMERICA HOLDINGS INC.,Consumer Loan,1
HSBC NORTH AMERICA HOLDINGS INC.,Prepaid card,3
HSBC NORTH AMERICA HOLDINGS INC.,Prepaid card,0
HSBC NORTH AMERICA HOLDINGS INC.,Money transfers,33
HSBC NORTH AMERICA HOLDINGS INC.,Money transfers,0
HSBC NORTH AMERICA HOLDINGS INC.,Other financial service,4
HSBC NORTH AMERICA HOLDINGS INC.,Other financial service,0
HSBC NORTH AMERICA HOLDINGS INC.,Payday loan,2
HSBC NORTH AMERICA HOLDINGS INC.,Payday loan,0
Resurgent Capital Services L.P.,Checking or savings account,4
Resurgent Capital Services L.P.,Checking or savings account,0
Resurgent Capital Services L.P.,Credit card or prepaid card,106
Resurgent Capital Services L.P.,Credit card or prepaid card,0
Resurgent Capital Services L.P.,"Credit reporting, credit repair services, or other personal consumer reports",2012
Resurgent Capital Services L.P.,"Credit reporting, credit repair services, or other personal consumer reports",0
Resurgent Capital Services L.P.,Debt collection,8443
Resurgent Capital Services L.P.,Debt collection,13
Resurgent Capital Services L.P.,"Money transfer, virtual currency, or money service",0
Resurgent Capital Services L.P.,"Money transfer, virtual currency, or money service",0
Resurgent Capital Services L.P.,Student loan,4
Resurgent Capital Services L.P.,Student loan,0
Resurgent Capital Services L.P.,Vehicle loan or lease,3
Resurgent Capital Services L.P.,Vehicle loan or lease,0
Resurgent Capital Services L.P.,Mortgage,144
Resurgent Capital Services L.P.,Mortgage,0
Resurgent Capital Services L.P.,"Payday loan, title loan, or personal loan",18
Resurgent Capital Services L.P.,"Payday loan, title loan, or personal loan",0
Resurgent Capital Services L.P.,Bank account or service,13
Resurgent Capital Services L.P.,Bank account or service,0
Resurgent Capital Services L.P.,Credit card,70
Resurgent Capital Services L.P.,Credit card,0
Resurgent Capital Services L.P.,Credit reporting,57
Resurgent Capital Services L.P.,Credit reporting,0
Resurgent Capital Services L.P.,Consumer Loan,30
Resurgent Capital Services L.P.,Consumer Loan,0
Resurgent Capital Services L.P.,Prepaid card,0
Resurgent Capital Services L.P.,Prepaid card,0
Resurgent Capital Services L.P.,Money transfers,0
Resurgent Capital Services L.P.,Money transfers,0
Resurgent Capital Services L.P.,Other financial service,0
Resurgent Capital Services L.P.,Other financial service,0
Resurgent Capital Services L.P.,Payday loan,1
Resurgent Capital Services L.P.,Payday loan,0
ERC,Checking or savings account,1
ERC,Checking or savings account,0
ERC,Credit card or prepaid card,1
ERC,Credit card or prepaid card,0
ERC,"Credit reporting, credit repair services, or other personal consumer reports",1385
ERC,"Credit reporting, credit repair services, or other personal consumer reports",2
ERC,Debt collection,9587
ERC,Debt collection,29
ERC,"Money transfer, virtual currency, or money service",1
ERC,"Money transfer, virtual currency, or money service",0
ERC,Student loan,4
ERC,Student loan,0
ERC,Vehicle loan or lease,0
ERC,Vehicle loan or lease,0
ERC,Mortgage,1
ERC,Mortgage,0
ERC,"Payday loan, title loan, or personal loan",2
ERC,"Payday loan, title loan, or personal loan",0
ERC,Bank account or service,5
ERC,Bank account or service,0
ERC,Credit card,5
ERC,Credit card,0
ERC,Credit reporting,60
ERC,Credit reporting,0
ERC,Consumer Loan,11
ERC,Consumer Loan,0
ERC,Prepaid card,1
ERC,Prepaid card,0
ERC,Money transfers,0
ERC,Money transfers,0
ERC,Other financial service,1
ERC,Other financial service,0
ERC,Payday loan,2
ERC,Payday loan,0
ALLY FINANCIAL INC.,Checking or savings account,1371
ALLY FINANCIAL INC.,Checking or savings account,0
ALLY FINANCIAL INC.,Credit card or prepaid card,43
ALLY FINANCIAL INC.,Credit card or prepaid card,0
ALLY FINANCIAL INC.,"Credit reporting, credit repair services, or other personal consumer reports",2767
ALLY FINANCIAL INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
ALLY FINANCIAL INC.,Debt collection,974
ALLY FINANCIAL INC.,Debt collection,1
ALLY FINANCIAL INC.,"Money transfer, virtual currency, or money service",106
ALLY FINANCIAL INC.,"Money transfer, virtual currency, or money service",0
ALLY FINANCIAL INC.,Student loan,5
ALLY FINANCIAL INC.,Student loan,0
ALLY FINANCIAL INC.,Vehicle loan or lease,2555
ALLY FINANCIAL INC.,Vehicle loan or lease,0
ALLY FINANCIAL INC.,Mortgage,249
ALLY FINANCIAL INC.,Mortgage,0
ALLY FINANCIAL INC.,"Payday loan, title loan, or personal loan",108
ALLY FINANCIAL INC.,"Payday loan, title loan, or personal loan",0
